Win,location,WinOverall,LossOverall,WinOverall_opponent,LossOverall_opponent,Date,Season,Team,Opponent,gameNum,opponentGameNum,conference,conference_opponent,interconference,GameType
1,H,19.0,5.0,16.0,8.0,2010-02-16,2010,Baylor,TexasTech,24.0,25.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,A,22.0,6.0,16.0,12.0,2010-03-02,2010,Baylor,TexasTech,28.0,29.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,H,14.0,15.0,16.0,13.0,2010-03-06,2010,Colorado,TexasTech,26.0,30.0,Pac 12,Big 12,True,PostSeasonConferenceTournament
0,A,12.0,5.0,12.0,5.0,2010-01-20,2010,IowaState,TexasTech,14.0,18.0,Big 12,Big 12,False,RegularSeason
1,H,15.0,1.0,12.0,4.0,2010-01-16,2010,Kansas,TexasTech,14.0,17.0,Big 12,Big 12,False,RegularSeason
1,N,29.0,2.0,17.0,14.0,2010-03-11,2010,Kansas,TexasTech,29.0,32.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,A,22.0,4.0,16.0,10.0,2010-02-23,2010,KansasState,TexasTech,21.0,27.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,A,13.0,3.0,12.0,3.0,2010-01-13,2010,Missouri,TexasTech,13.0,16.0,SEC,Big 12,True,RegularSeason
1,H,13.0,15.0,16.0,11.0,2010-02-27,2010,Nebraska,TexasTech,26.0,28.0,Big 10,Big 12,True,PostSeasonConferenceTournament
1,H,12.0,1.0,10.0,1.0,2009-12-29,2010,NewMexico,TexasTech,8.0,12.0,MWC,Big 12,True,RegularSeason
0,A,11.0,7.0,13.0,5.0,2010-01-23,2010,Oklahoma,TexasTech,15.0,19.0,Big 12,Big 12,False,RegularSeason
0,H,13.0,9.0,15.0,7.0,2010-02-09,2010,Oklahoma,TexasTech,19.0,23.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,H,12.0,2.0,12.0,2.0,2010-01-09,2010,OklahomaState,TexasTech,12.0,15.0,Big 12,Big 12,False,RegularSeason
0,A,16.0,6.0,14.0,7.0,2010-02-06,2010,OklahomaState,TexasTech,20.0,22.0,Big 12,Big 12,False,PostSeasonConferenceTournament
0,A,5.0,5.0,9.0,1.0,2009-12-22,2010,Stanford,TexasTech,10.0,11.0,Pac 12,Big 12,True,RegularSeason
0,H,5.0,3.0,8.0,0.0,2009-12-08,2010,TexasChristian,TexasTech,7.0,9.0,Big 12,Big 12,False,RegularSeason
1,H,17.0,2.0,14.0,5.0,2010-01-27,2010,Texas,TexasTech,16.0,20.0,Big 12,Big 12,False,RegularSeason
1,A,20.0,6.0,16.0,9.0,2010-02-20,2010,Texas,TexasTech,23.0,26.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,H,14.0,6.0,14.0,6.0,2010-01-30,2010,TexasAM,TexasTech,18.0,21.0,SEC,Big 12,True,RegularSeason
1,A,17.0,6.0,16.0,7.0,2010-02-13,2010,TexasAM,TexasTech,21.0,24.0,SEC,Big 12,True,PostSeasonConferenceTournament
0,A,9.0,2.0,11.0,2.0,2010-01-03,2010,UTEP,TexasTech,8.0,14.0,C-USA,Big 12,True,RegularSeason
1,H,9.0,1.0,9.0,0.0,2009-12-19,2010,WichitaState,TexasTech,7.0,10.0,AAC,Big 12,True,RegularSeason
1,A,12.0,3.0,6.0,7.0,2010-01-08,2010,Cornell,SouthDakota,13.0,10.0,Ivy,Summit,True,RegularSeason
0,H,3.0,15.0,10.0,9.0,2010-01-28,2010,HoustonBaptist,SouthDakota,16.0,16.0,Southland,Summit,True,RegularSeason
1,H,12.0,1.0,6.0,6.0,2010-01-03,2010,KansasState,SouthDakota,8.0,9.0,Big 12,Summit,True,RegularSeason
0,A,4.0,13.0,7.0,8.0,2010-01-12,2010,Longwood,SouthDakota,14.0,12.0,Big South,Summit,True,RegularSeason
1,A,5.0,6.0,6.0,5.0,2009-12-28,2010,MoreheadState,SouthDakota,9.0,8.0,OVC,Summit,True,RegularSeason
0,H,8.0,16.0,15.0,9.0,2010-02-25,2010,NJIT,SouthDakota,18.0,21.0,A-Sun,Summit,True,PostSeasonConferenceTournament
0,A,3.0,14.0,8.0,8.0,2010-01-16,2010,NorthDakota,SouthDakota,11.0,13.0,Summit,Summit,False,RegularSeason
0,H,3.0,15.0,9.0,9.0,2010-01-23,2010,NorthDakota,SouthDakota,12.0,15.0,Summit,Summit,False,RegularSeason
1,H,7.0,10.0,9.0,8.0,2010-01-21,2010,UtahValley,SouthDakota,11.0,14.0,WAC,Summit,True,RegularSeason
0,A,11.0,13.0,14.0,9.0,2010-02-18,2010,UtahValley,SouthDakota,16.0,20.0,WAC,Summit,True,PostSeasonConferenceTournament
1,H,5.0,5.0,6.0,4.0,2009-12-20,2010,Wyoming,SouthDakota,7.0,7.0,MWC,Summit,True,RegularSeason
0,A,13.0,9.0,16.0,6.0,2010-02-06,2010,Alabama,OleMiss,21.0,22.0,SEC,SEC,False,PostSeasonConferenceTournament
0,H,14.0,13.0,18.0,9.0,2010-02-27,2010,Alabama,OleMiss,25.0,27.0,SEC,SEC,False,PostSeasonConferenceTournament
1,A,9.0,11.0,16.0,4.0,2010-01-31,2010,Arkansas,OleMiss,15.0,20.0,SEC,SEC,False,RegularSeason
0,H,10.0,10.0,15.0,4.0,2010-01-28,2010,Auburn,OleMiss,16.0,19.0,SEC,SEC,False,RegularSeason
1,A,18.0,8.0,17.0,8.0,2010-02-20,2010,Florida,OleMiss,25.0,25.0,SEC,SEC,False,PostSeasonConferenceTournament
0,H,8.0,6.0,12.0,3.0,2010-01-13,2010,Georgia,OleMiss,12.0,15.0,SEC,SEC,False,RegularSeason
1,H,20.0,1.0,16.0,5.0,2010-02-02,2010,Kentucky,OleMiss,19.0,21.0,SEC,SEC,False,PostSeasonConferenceTournament
0,H,9.0,9.0,14.0,4.0,2010-01-23,2010,LSU,OleMiss,15.0,18.0,SEC,SEC,False,RegularSeason
